0.197	-26.6031002423	-26.5711950213
0.212	-31.7618097068	-21.9541300327
0.227	-33.1874058415	-20.882287476
0.26	-35.064056063	-19.6339997979
0.29	-36.2162441234	-18.9741327856
0.32	-37.123040102	-18.5213078424
0.35	-37.8810958309	-18.1938862181
0.38	-38.5384386019	-17.9524920971
0.41	-39.1230582376	-17.7751051628
0.44	-39.6531613	-17.6482900853
0.47	-40.1417378238	-17.5634325445
0.5	-40.5990113762	-17.5149049174
0.53	-41.0341383344	-17.4991134612
0.56	-41.4570395202	-17.5139341665
0.59	-41.8819241449	-17.5585636644
0.62	-42.3394903248	-17.6333444021
0.65	-43.0502336624	-17.7393357797
